,contents,keywords,relevancy
0,"Azərbaycanda özəl pensiya fondları yaradıla bilər.Bu barədə Dövlət Sosial Müdafiə Fondunun sədri Himalay Məmişov qurumun 6 aylıq hesabatı ilə bağlı keçirilən mətbuat konfransında danışıb.O, bildirib ki, bunun üçün qanunvericilik bazası təkmilləşdirilir və aidiyyatı qurumlarla razılaşdırılma prosesi aparılır:""Özəl pensiya fondlarına investisiyalar uzunmüddətli investisiyalar hesab olunur. Bu zaman həmin pensiya fondlarının dayanıqlılığına nəzarət olunması, vətəndaşların ödədiyi məbləğlərin pensiya qismində onlara geri qaytarılması normativ bazada tənzimlənməlidir. Bu istiqamətdə biz qanunvericilik aktlarının təkmilləşdirilməsi və aidiyyatı qurumlarla razılaşdırılma prosesini aparırıq"".",['Dövlət Sosial Müdafiə Fondu'],0
1,"Sabiq əmək və əhalinin sosial müdafiəsi naziri Səlim Müslümovun cinayət işi üzrə məhkəmə proses təxirə salınıb.Axar.az xəbər verir ki, Bakı Ağır Cinayətlər Məhkəməsinin hakimi Faiq Qəniyevin sədrliyi ilə keçirilən iclasın təxirə salınmasına səbəb vəkillərin prosesə gəlməməsi olub.Bildirilib ki, məhkəmə növbəti həftəyədək təxirə salınıb.Qeyd edək ki, S.Müslümov Azərbaycan əmək və əhalinin sosial müdafiəsi naziri vəzifəsində işlədiyi müddətdə nazirliyin fəaliyyət istiqamətləri üzrə əlillərin və sağlamlıq imkanları məhdud uşaqların reabilitasiyası və sosial müdafiəsinin təşkil edilməsi, işəgötürənlərin əmək, məşğulluq və sosial müdafiə məsələləri ilə bağlı fəaliyyətlərinə dövlət nəzarətinin həyata keçirilməsi və digər səlahiyyətlərin yerinə yetirilməsi zamanı çoxsaylı sui-istifadə hallarına yol verməsinə dair faktlar Dövlət Təhlükəsizliyi Xidmətində araşdırılıb.Toplanılan materiallar əsasında başlanılan cinayət işi üzrə S.Müslümovun xidməti vəzifələrinin icrası ilə əlaqədar özü üçün qanunsuz üstünlüklər əldə etmək məqsədilə qulluq səlahiyyətlərindən tamah niyyəti ilə qulluq mənafeyinə qəsdən zidd olaraq istifadə edib dövlətin qanunla qorunan mənafelərinə ağır nəticələrə səbəb olan zərər vurmasına, habelə onun tərəfindən tabeçiliyində işləyən vəzifəli şəxslərdən vasitəçi kimi istifadə etməklə müxtəlif rayonlarda əlillər üçün fərdi yaşayış və internat evlərinin tikinti-təmirinin aparılması işlərini yerinə yetirən fiziki və hüquqi şəxslərə ayrılmış pul vəsaitlərinin bir hissəsinin tələb edilərək alınmasına əsaslı şübhələr müəyyən edilib.Həmçinin S.Müslümovun nazirliyin Dövlət Əmək Müfəttişliyi Xidməti tərəfindən ölkə ərazisində istehsal, sosial-məişət və iaşə təyinatlı obyektlərin inşası və yenidən qurulması zamanı əməyin mühafizəsi tələblərinə əməl olunması, onların istismara buraxılmasına razılığın verilməsi, əməyin mühafizəsi tələblərinə uyğunluğu ilə bağlı müəssisələrdə aparılmış yoxlamaların nəticələrinə görə müxtəlif vaxtlarda külli miqdarda pul vəsaitləri qismində təkrar rüşvət almasına dair məlumatlar əldə olunub.Eyni zamanda, Daxili nəzarət şöbəsi tərəfindən ərazi strukturlarında aparılmış yoxlamaların nəticələri ilə bağlı onun həmin nazirliyin müxtəlif ərazi şöbələrinin rəhbərlərinin hər birindən 10 mindən 30 min manatadək külli miqdarda təkrar rüşvət almasına əsaslı şübhələr müəyyən edilib. S.Müslümov Azərbaycan Cinayət Məcəlləsinin 308.2-ci (ağır nəticələrə səbəb olan vəzifə səlahiyyətlərindən sui-istifadə), 311.3.2-ci və 311.3.3-cü maddələri (təkrar külli miqdarda rüşvət alma) ilə təqsirləndirilən şəxs qismində məsuliyyətə cəlb olunaraq barəsində məhkəmənin qərarı ilə həbs qətimkan tədbiri seçilib.Daha sonra səhhətindəki problemlərlə bağlı sabiq nazir ev dustaqlığına buraxılıb.",['sosial müdafiə'],1
2,"İyun ayında havanın orta aylıq temperaturunun iqlim normasına yaxın, bəzi yerlərdə isə bir qədər yüksək olacağı gözlənilir.Milli Hidrometeorologiya Xidmətindən Axar.az-a bildirilib ki, aylıq yağıntının miqdarı əsasən iqlim normasına yaxın, bəzi ərazilərdə isə normadan bir qədər çox olacağı ehtimal olunur.Ayın ilk günlərində ölkə ərazisində hava şəraitinin qeyri-sabit keçəcəyi, arabir yağıntılı olacağı gözlənilir. Əsasən dağlıq və dağətəyi rayonlarda yağıntıların leysan xarakterli intensiv olacağı, şimşək çaxacağı, dolu düşəcəyi ehtimalı var.Bakıda və Abşeron yarımadasında havanın orta aylıq temperaturunun 24-26 dərəcə isti olacağı gözlənilir ki, bu da iqlim normasına yaxın və bir qədər yüksəkdir. Gecələr havanın temperaturu 19-24 dərəcə isti, gündüzlər 29-34 dərəcə isti, bəzi günlərdə 36-40 dərəcə isti olacağı gözlənilir. Aylıq yağıntının miqdarı iqlim normasına yaxın olacağı gözlənilir (norma 9-12 mm).Naxçıvan şəhəri, Culfa, Ordubad, Sədərək, Şahbuz və Şərur rayonlarında havanın orta aylıq temperaturunun 23-26 dərəcə isti gözlənilir ki, bu da iqlim normasına yaxın və bir qədər yüksəkdir. Gecələr havanın temperaturu 16-21 dərəcə isti, gündüzlər 29-34 dərəcə isti, bəzi günlərdə 36-40 dərəcə isti olacağı gözlənilir. Aylıq yağıntının miqdarı iqlim normasına yaxın olacağı ehtimalı var (norma 21-35 mm).Xankəndi, Şuşa, Goranboy, Xocalı, Xocavənd, Ağdam, həmçinin Daşkəsən-Gədəbəy rayonlarında havanın orta aylıq temperaturunun18-20 dərəcə isti gözlənilir ki, bu da iqlim normasına yaxın və bir qədər yüksəkdir. Gecələr havanın temperaturu 12-17 dərəcə isti, gündüzlər 18-23 dərəcə isti, bəzi günlərdə 26-31 dərəcə isti olacağı gözlənilir. Aylıq yağıntının miqdarı iqlim normasına yaxın olacağı ehtimalı var (norma 74-130 mm).Şərqi Zəngəzur: Cəbrayıl, Kəlbəcər, Qubadlı, Laçın, Zəngilan rayonlarında havanın orta aylıq temperaturunun 18-20 dərəcə isti gözlənilir ki, bu da iqlim normasına yaxın və bir qədər yüksəkdir. Gecələr havanın temperaturu 12-17 dərəcə isti, gündüzlər 18-23 dərəcə isti, bəzi günlərdə 26-31 dərəcə isti olacağı gözlənilir. Aylıq yağıntının miqdarı iqlim normasına yaxın olacağı ehtimalı var (norma 74-130 mm).Qazax, Gəncə, Tərtər, Füzuli rayonlarında havanın orta aylıq temperaturunun 23-26 dərəcə isti olacağı gözlənilir ki, bu da iqlim normasına yaxın və bir qədər yüksəkdir. Gecələr havanın temperaturu 18-23 dərəcə isti, gündüzlər 28-33 dərəcə isti, bəzi günlərdə 36-39 dərəcə isti olacağı gözlənilir. Aylıq yağıntının miqdarı iqlim normasına yaxın, bəzi yerlərdə isə bir qədər çox olacağı gözlənilir (norma 46-63 mm).Balakən, Zaqatala, Qax, Şəki, Oğuz, Qəbələ, İsmayıllı, Ağsu, Mingəçevir, Şamaxı, Siyəzən, Şabran, Xızı, Quba, Xaçmaz, Qusar rayonlarında havanın orta aylıq temperaturunun 21-25 dərəcə isti olacağı gözlənilir ki, bu da iqlim normasına yaxın və bir qədər yüksəkdir. Gecələr havanın temperaturu 18-23 dərəcə isti, gündüzlər 24-29 dərəcə isti, bəzi günlərdə 33-38 dərəcə isti olacağı gözlənilir. Aylıq yağıntının miqdarı iqlim normasına yaxın, bəzi yerlərdə isə normadan bir qədər çox olacağı gözlənilir (norma 18-179 mm).Yevlax, Göyçay, Ağdaş, Kürdəmir, İmişli, Ağcabədi, Beyləqan, Sabirabad, Biləsuvar, Saatlı, Şirvan, Hacıqabul, Zərdab, Salyan, Neftçala rayonlarında havanın orta aylıq temperaturunun 25-28 dərəcə isti olacağı gözlənilir ki, bu da iqlim normasına yaxın və bir qədər yüksəkdir. Gecələr havanın temperaturu 19-24 dərəcə isti, gündüzlər 29-34 dərəcə isti, bəzi günlərdə 37-41 dərəcə isti olacağı gözlənilir. Aylıq yağıntının miqdarı iqlim normasına yaxın olacağı ehtimalı var (norma 12-49 mm).Masallı, Yardımlı, Lerik, Lənkəran, Astara, Cəlilabad rayonlarında havanın orta aylıq temperaturunun 21-25 dərəcə isti olacağı gözlənilir ki, bu da iqlim normasına yaxın və bir qədər yüksəkdir. Gecələr havanın temperaturu 19-24 dərəcə isti, gündüzlər 27-32 dərəcə isti, bəzi günlərdə 35-37 dərəcə isti olacağı gözlənilir. Aylıq yağıntının miqdarı iqlim normasına yaxın, bəzi yerlərdə isə normadan bir qədər çox olacağı gözlənilir (norma 29-47 mm).",['Gədəbəy'],1
3,"İyun ayında havanın orta aylıq temperaturunun iqlim normasına yaxın, bəzi yerlərdə isə bir qədər yüksək olacağı gözlənilir.Milli Hidrometeorologiya Xidmətindən Axar.az-a bildirilib ki, aylıq yağıntının miqdarı əsasən iqlim normasına yaxın, bəzi ərazilərdə isə normadan bir qədər çox olacağı ehtimal olunur.Ayın ilk günlərində ölkə ərazisində hava şəraitinin qeyri-sabit keçəcəyi, arabir yağıntılı olacağı gözlənilir. Əsasən dağlıq və dağətəyi rayonlarda yağıntıların leysan xarakterli intensiv olacağı, şimşək çaxacağı, dolu düşəcəyi ehtimalı var.Bakıda və Abşeron yarımadasında havanın orta aylıq temperaturunun 24-26 dərəcə isti olacağı gözlənilir ki, bu da iqlim normasına yaxın və bir qədər yüksəkdir. Gecələr havanın temperaturu 19-24 dərəcə isti, gündüzlər 29-34 dərəcə isti, bəzi günlərdə 36-40 dərəcə isti olacağı gözlənilir. Aylıq yağıntının miqdarı iqlim normasına yaxın olacağı gözlənilir (norma 9-12 mm).Naxçıvan şəhəri, Culfa, Ordubad, Sədərək, Şahbuz və Şərur rayonlarında havanın orta aylıq temperaturunun 23-26 dərəcə isti gözlənilir ki, bu da iqlim normasına yaxın və bir qədər yüksəkdir. Gecələr havanın temperaturu 16-21 dərəcə isti, gündüzlər 29-34 dərəcə isti, bəzi günlərdə 36-40 dərəcə isti olacağı gözlənilir. Aylıq yağıntının miqdarı iqlim normasına yaxın olacağı ehtimalı var (norma 21-35 mm).Xankəndi, Şuşa, Goranboy, Xocalı, Xocavənd, Ağdam, həmçinin Daşkəsən-Gədəbəy rayonlarında havanın orta aylıq temperaturunun18-20 dərəcə isti gözlənilir ki, bu da iqlim normasına yaxın və bir qədər yüksəkdir. Gecələr havanın temperaturu 12-17 dərəcə isti, gündüzlər 18-23 dərəcə isti, bəzi günlərdə 26-31 dərəcə isti olacağı gözlənilir. Aylıq yağıntının miqdarı iqlim normasına yaxın olacağı ehtimalı var (norma 74-130 mm).Şərqi Zəngəzur: Cəbrayıl, Kəlbəcər, Qubadlı, Laçın, Zəngilan rayonlarında havanın orta aylıq temperaturunun 18-20 dərəcə isti gözlənilir ki, bu da iqlim normasına yaxın və bir qədər yüksəkdir. Gecələr havanın temperaturu 12-17 dərəcə isti, gündüzlər 18-23 dərəcə isti, bəzi günlərdə 26-31 dərəcə isti olacağı gözlənilir. Aylıq yağıntının miqdarı iqlim normasına yaxın olacağı ehtimalı var (norma 74-130 mm).Qazax, Gəncə, Tərtər, Füzuli rayonlarında havanın orta aylıq temperaturunun 23-26 dərəcə isti olacağı gözlənilir ki, bu da iqlim normasına yaxın və bir qədər yüksəkdir. Gecələr havanın temperaturu 18-23 dərəcə isti, gündüzlər 28-33 dərəcə isti, bəzi günlərdə 36-39 dərəcə isti olacağı gözlənilir. Aylıq yağıntının miqdarı iqlim normasına yaxın, bəzi yerlərdə isə bir qədər çox olacağı gözlənilir (norma 46-63 mm).Balakən, Zaqatala, Qax, Şəki, Oğuz, Qəbələ, İsmayıllı, Ağsu, Mingəçevir, Şamaxı, Siyəzən, Şabran, Xızı, Quba, Xaçmaz, Qusar rayonlarında havanın orta aylıq temperaturunun 21-25 dərəcə isti olacağı gözlənilir ki, bu da iqlim normasına yaxın və bir qədər yüksəkdir. Gecələr havanın temperaturu 18-23 dərəcə isti, gündüzlər 24-29 dərəcə isti, bəzi günlərdə 33-38 dərəcə isti olacağı gözlənilir. Aylıq yağıntının miqdarı iqlim normasına yaxın, bəzi yerlərdə isə normadan bir qədər çox olacağı gözlənilir (norma 18-179 mm).Yevlax, Göyçay, Ağdaş, Kürdəmir, İmişli, Ağcabədi, Beyləqan, Sabirabad, Biləsuvar, Saatlı, Şirvan, Hacıqabul, Zərdab, Salyan, Neftçala rayonlarında havanın orta aylıq temperaturunun 25-28 dərəcə isti olacağı gözlənilir ki, bu da iqlim normasına yaxın və bir qədər yüksəkdir. Gecələr havanın temperaturu 19-24 dərəcə isti, gündüzlər 29-34 dərəcə isti, bəzi günlərdə 37-41 dərəcə isti olacağı gözlənilir. Aylıq yağıntının miqdarı iqlim normasına yaxın olacağı ehtimalı var (norma 12-49 mm).Masallı, Yardımlı, Lerik, Lənkəran, Astara, Cəlilabad rayonlarında havanın orta aylıq temperaturunun 21-25 dərəcə isti olacağı gözlənilir ki, bu da iqlim normasına yaxın və bir qədər yüksəkdir. Gecələr havanın temperaturu 19-24 dərəcə isti, gündüzlər 27-32 dərəcə isti, bəzi günlərdə 35-37 dərəcə isti olacağı gözlənilir. Aylıq yağıntının miqdarı iqlim normasına yaxın, bəzi yerlərdə isə normadan bir qədər çox olacağı gözlənilir (norma 29-47 mm).",['Gədəbəy'],1
4,"Milli Məclisin yaz sessiyasının sonuncu plenar iclası başlayıb.Axar.az xəbər verir ki, Sahibə Qafarovanın sədrliyi ilə keçirilən toplantının gündəliyinə 14 məsələnin müzakirəsi daxil edilib.Bunlar aşağıdakılardır:1. “Azərbaycanın 2022-ci il dövlət büdcəsinin icrası haqqında” qanun layihəsi (birinci oxunuş)2. “Sahibkarlıq sahəsində aparılan yoxlamaların tənzimlənməsi və sahibkarların maraqlarının müdafiəsi haqqında” qanunda dəyişiklik edilməsi barədə qanun layihəsi (ikinci oxunuş)3. Mülki Prosessual Məcəllədə dəyişiklik edilməsi haqqında qanun layihəsi (ikinci oxunuş)4. “Təhsil haqqında” qanunda dəyişiklik edilməsi barədə qanun layihəsi (ikinci oxunuş)5. “Elm haqqında” qanunda dəyişiklik edilməsi barədə qanun layihəsi (ikinci oxunuş)6. “Peşə təhsili haqqında” qanunda dəyişiklik edilməsi barədə qanun layihəsi (ikinci oxunuş)7. Əmək Məcəlləsində, “Məktəbəqədər təhsil haqqında” və “Ümumi təhsil haqqında” qanunlarda dəyişiklik edilməsi barədə qanun layihəsi (ikinci oxunuş)8. “Sanitariya-epidemioloji salamatlıq haqqında”, “Şəhid adının əbədiləşdirilməsi və şəhid ailələrinə edilən güzəştlər haqqında”, “Yanğın təhlükəsizliyi haqqında”, “Milli arxiv fondu haqqında”, “Valideynlərini itirmiş və valideyn himayəsindən məhrum olmuş uşaqların sosial müdafiəsi haqqında” və “Hərbi vəzifə və hərbi xidmət haqqında” qanunlarda dəyişiklik edilməsi barədə qanun layihəsi (ikinci oxunuş)9. Torpaq Məcəlləsində, Şəhərsalma və Tikinti Məcəlləsində, “Torpaq islahatı haqqında”, “Energetika haqqında”, “Torpaq icarəsi haqqında”, “Dövlət torpaq kadastrı, torpaqların monitorinqi və yerquruluşu haqqında”, “Torpaq bazarı haqqında”, “Bələdiyyə torpaqlarının idarə edilməsi haqqında”, “Bələdiyyə torpaqlarının ayrılmasına dair sənədlərin hazırlanması və razılaşdırılması qaydaları haqqında Əsasnamənin təsdiq edilməsi barədə” və “Elektrik enerjisi istehsalında bərpa olunan enerji mənbələrindən istifadə haqqında” qanunlarda dəyişiklik edilməsi barədə qanun layihəsi (üçüncü oxunuş)10. “Əhalinin sağlamlığının qorunması haqqında” qanunda dəyişiklik edilməsi barədə qanun layihəsi11. “Bədən tərbiyəsi və idman haqqında” qanunda dəyişiklik edilməsi barədə qanun layihəsi12. “Özəl tibb fəaliyyəti haqqında” qanunda dəyişiklik edilməsi barədə qanun layihəsi13. “Yerin təki haqqında” qanunda dəyişiklik edilməsi barədə qanun layihəsi14. “Məhkəmə-Hüquq Şurası haqqında” qanunda dəyişiklik edilməsi barədə qanun layihəsi (birinci oxunuş)",['sosial müdafiə'],0
5,"Seyran Səxavətlə doğma Qarabağımızı səfərə getmişik. Kürdəmir Regional Mədəniyyət İdarəsi ustadın Beyləqan rayonunun ziyalıları və yaradıcı adamları ilə görüşünu planlaşdırıb. Gecəni Füzuli rayonunun Arayatılı kəndində, vaxtilə şan-şöhrəti bütün Sovetlər Birliyinə yayılmış, iki dəfə Sosialist Əməyi Qəhrəmanı Şamama Həsənovanın kəndində, bütün qarabağlıların «Ana» dediyi Şamama Həsənovanın kəndində gecələdik.Gözəl bir yaz sabahı açılır. Tut da yetişib. Görməmiş kimi daraşırıq tuta. Kürdəmir Regional Mədəniyyət İdarəsinin rəisi Faiq Xudanlı və Füzuli Mədəniyyət Mərkəzinin direktoru Anar Ağayev da gəlir. Ağzımızdan tut gələnədək tut yeyirik. Səhər yeməyinə yer qalmayıb. Elə ayaq üstə bir çay içirik, Beyləqana gedəcəyik.Seyran Səxavət deyir ki, şəhid Səid Rəşidzadənin ruhundan icazə almamış görüşə başlamaq olmaz. O Səid Rəşidzadənin ki Vətən müharibəsində Hadrutun azad olunmasında misilsiz qəhrəmanlıq göstərmiş və Hadruta ilk dəfə müqəddəs bayrağımızı sancandan sonra düşmən gülləsi ilə şəhadətə yüksəlmişdi. Məzarı da Arayatılı kənd qəbiristanlığında Şəhidlər Xiyabanındadı.Üz tuturuq Arayatılı kənd qəbiristanlığına. Bu da Səidin və Qarabağın azadlığı uğrunda Vətən müharibəsində həlak olmuş arayatılıların məzarları.Seyran və sonra da hamımız Səidin və şəhidlərin məzarları önündə baş əyirik. Seyran Səidin ruhundan icazə istəyir və içimizdə ağlaya-ağlaya qəbiristanlıqdan ayrılırıq. Yolumuz Beyləqanadı.Şəhərdə Heydər Əliyevin adını daşıyan gözəl bir park var. Tarix Diyarşünaslıq Muzeyi də bu parkda yerləşir. Görüşün başlanmasına xeyli vaxt qalsa da park adamla doludu. Beyləqanlılar sevimli yazıçılarını dövrəyə alırlar. Əslində görüş elə parkda başlayır. Gözəl bir yaz havasında Qarabağın xarakterini, balını, duzunu, istiotunu həm yazılarında, roman və povestlərində, həm də özündə daşıyan Seyran Səxavətlə elə səmimi, mehriban bir söhbət alınır ki. Nəhayət, camaat muzeyin zalına yığışa bilir. Və görüşün rəsmi hissəsi başlayır. Əslində buna rəsmi hissə demək olmazdı. Həm Seyranın səmimiliyi, həm də görüşə gələnlərin səmimiliyi rəsmi görüşü qeyri-rəsmi bir vəziyyətə gətirir.Hiss olunur ki, görüşə gələnlər yazıçının əsərlərini az qala bitdə-bitdə oxuyublar.Kürdəmir Regional Mədəniyyət İdarəsinin Seyran Səxavətin yaradıcılığına həsr olunmuş hazırladığı film də yazıçını çox geniş təqdim edir. Arada film dayandırılır, kimsə qalxıb Seyranın gənclik illərindəki şeirlərindən birini söyləyir və Seyrana naqolay bir sual verir. Seyran onun naqolay sualına çox qolay bir cavab verir və görüş iştirakçılarının üzünə təbəssüm qonur. Sual verənlər də, Seyran da o qədər səmimi idilər ki, adam vaxtın necə keçdiyini bilmir. Görüşə gələnlərin əksəriyyəti Seyrandan şeir istəyir. Seyran da açır şeir boğçasını və hətta gənclikdə sevdiyi qızın itinə yazdığı şeiri də oxuyur.Ümumiyyətlə, Kürdəmir Regional Mədəniyyət İdarəsi və Füzuli rayonunun Mədəniyyət Mərkəzi bu görüşə ciddi hazırlaşmışdılar.İştirakçılardan biri Seyrana sual verir ki, Aqil Abbas da, sən də Qarabağdan çox yazırsınız, sən istedadlısan, yoxsa Aqil Abbas? Məni gülmək tutur. Deyirəm ki, o sualın cavabını mən verərəm. Düzdür, Seyran da cavab verir, təbii ki, məni lazım olduğundan artıq tərifləyir. Söz mənə veriləndə deyirəm:- Seyran Səxavət mənim ustadımdır. Və Seyran bütöv Qarabağdır.Faiq Xudanlı Seyran Səxavətin yaradıcılığı və şəxsiyyəti haqqında geniş bir məruzə edir. Sonra da yazıçıya Mədəniyyət İdarəsinin adından bir xatirə bağışlayır. Xatirə də rəssam tərəfindən çəkilmiş Qarabağın gözəl bir mənzərəsidir.Nəhayət, görüş başa çatır. Zaldan çıxırıq, amma heç kəs Seyranın söhbətlərindən doymayıb, onu buraxmaq istəmir. Şəkil çəkdirirlər, evlərinə dəvət edirlər, amma biz üzü güləbədinə – Bakıya qayıtmalıyıq. Regional Mədəniyyət İdarəsinin Beyləqan rayon üzrə nümayəndəsi Məhəmməd Qələndərov 7-ci sinifdə oxuyan bir uşağı Seyranla tanış edir və deyir ki, onun çox gözəl səsi var. Xahiş edirik ki, bir oxusun. Uşaq şirin Qarabağ avazı ilə necə oxuyursa hamımız valeh oluruq. Seyran deyir ki, görüşün ən gözəl hissəsi bu idi.Onu da qeyd edim ki, Kürdəmir Regional Mədəniyyət İdarəsi əhatə etdiyi rayonlarda müxtəlif şair və yazıçılarla belə görüşləri ayda bir dəfə, ya iki dəfə keçirir. Eyni zamanda regionda yaşayan şair və yazıçıların əsərlərini Mədəniyyət Nazirliyinin büdcəsi hesabına çap etdirib kitabxanalara paylayır, bizə də həmin kitablardan beşini bağışladılar.Və Beyləqandan ayrılırıq.Mənlə də şəkil çəkdirənlər oldu.",['ABB'],0
6,"Əmək və əhalinin sosial müdafiəsi naziri Sahil Babayev Ağdam Rayon İcra Hakimiyyətinin sabiq başçısı Raqub Məmmədovun oğlu Sənan Məmmədova yeni vəzifə verib. Nazirin əmri ilə Abşeron-Xızı Regional Məşğulluq filialının müdiri Məmmədzadə Sənan Raqub oğlu vəzifəsindən azad olunub və Şərqi Zəngəzur Regional Məşğulluq filialının müdiri təyin edilib.Medianın yazdığına görə, Sənan Məmmədov Abşeron-Xızı Regional Məşğulluq İdarəsinə müdiri vəzifəsində çalışarkən iclaslarda qızları idarəyə yığıb nöqsanlara yol verdiyinə görə səlahiyyətli şəxslər tərəfindən danlandığı da deyilirdirdi. Bəs yeni vəzifəyə təyin olunan S.Məmmədov kimdir?Bununla bağlı media üzərindən apardığı araşdırmaya əsasən bildirir ki, bir neçə il öncə Adamın sabiq icra başçısı Raqub Məmmədovun oğlu Sənan Məmmədzadənin cəbhə xəttində-səngərdə çəkdirdiyi fotolar yayılmışdı. Həmin xəbər sosial şəbəkələrdə və mediada ciddi rezonas doğurmuşdu.Həmin ərəfədə bu fotolara tez bir zamanda Müdafiə Nazirliyi tərəfindən reaksiya gəldi. Daha sonra isə xəbər yayıldı ki, Raqub Məmmədov oğlunun hərəkətinə görə, ciddi cəzalandırılıb və ona xəbərdarlıq edilib. Amma məmur övladlarının komfortlu və dəbdəbəli həyatı, zəngin yaşam tərzi onun bu davranışlarının davamlı olmasına şərait yaradır.Ağdamın icra başçısı Raqub Məmmədovun da övladları bahalı avtomobilləri idarə edənlər sırasında olması haqda da məlumatlar var. Ölkə mediasında yayılan məlumatlara istinadən cumhuriyyet.az bildirir ki, uzun müddət MTN-in Tərtər şöbəsinə rəislik etmiş Məmmədovun sonradan Ağdama icra başçısı təyin olunmasının bu prosesdə nə qədər rolu olub, məlum deyil.Məlum olan odur ki, icra başçısının Sənan və Kənan adlı oğlanları həm bahalı maşınlar idarə edirlər, həm də onların üzərindəki dövlət nömrə nişanları da ucuz hesab edilmir. Bildirək ki, Raqub Məmmədovun böyük oğlu Sənan Məmmədovun idarə etdiyi avtomobillərin sayı 2-dir.Onlardan biri «Lexus» markalı maşındır ki, dövlət nömrə nişanı 90 SM 777-dir. Digər avtomobili isə «Jeep» markalı maşındır ki, onun da dövlət nömrə nişanı 99 EZ 777-dir. İcra başçısının böyük oğlunun nömrələrindən də görünür ki, onlar özəl olaraq öz adına uyğun seçilib. Yəni, SM Sənan Məmmədov anlamına gəlir.Məmmədovun idarə etdiyi avtomobillərin qiymətlərinə gəldikdə isə onların ucuz olmadığı da məlum olub. Medianın dəqiqləşdirmələrinə görə, yeni model «Toyota Lexus» markalı avtomobilin faktiki qiyməti 63 min manatdan başlayır. Modifikasiya üzrə qiymətlər 80 min manata qədər arta bilər. «Jeep Grant Cheroke» markalı avtomobilin yeni modelinin qiyməti isə 100 min manatdır.Yeri gəlmişkən, Raqub Məmmədovun kiçik oğlu Kənan Məmmədov isə qardaşından fərqli olaraq, bir avtomobilə sahibdir. Daha doğrusu, araşdırmalar nəticəsində üzə çıxan sayın birlə yekunlaşdığı diqqəti çəkir.Ola bilər ki, onun da Samir Məmmədov kimi, bir neçə maşını var. Kənan Məmmədov polis zabitidir. Sabiq icra başçısının polis oğlunun idarə etdiyi avtomobil «Jeep Grant Cheroke»dir. 90 KM 777 dövlət nömrə nişanlı «Jeep»in bazar qiyməti isə 100 min manatdır.Sual meydana çıxır ki, hər iki gənc bu qədər maddi imkana təkbaşınamı sahib olublar, yoxsa atalarının hesabına belə imkan yaradıblar? Əgər polis maaşı ilə belə bahalı maşın almağın mümkün olduğunu düşünmək mümkünsə, real deyil. Çünki həmin əmək haqqı bir zabitin dolaşınığını təmin etməklə yanaşı, cüzi miqdar da artıq qalması ilə kifayətlənə bilər.Yox, icra başçısı olan atasının zəhmətinin nəticəsidir ki, rayon rəhbərinin bu qədər pulu olması da imkansızdır. Onun əmək haqqısı oğlununkundan iki dəfə çox olsa da, yenə də 100 minlik maşın almaq üçün uyğun hesab edilmir. AZƏRBAYCANREALLIĞI.COM",['sosial müdafiə'],1
7,"1 iyul saat 09:30-dan 15:00-dək Bakı şəhəri, Nəsimi rayonunun Alı Mustafayev küçəsində (yalnız 20 Yanvar dairəsi istiqamətində, tunelin çıxışında) aparılacaq təmir işləri ilə əlaqədar nəqliyyat vasitələrinin hərəkəti tam məhdudlaşdırılacaq.Axar.az xəbər verir ki, bu barədə Azərbaycan Avtomobil Yolları Dövlət Agentliyi (AAYDA) məlumat yayıb.Sürücülərdən qeyd olunan saatlarda sözügedən hissədə hərəkətdə olarkən diqqətli olmaları, yol hərəkəti qaydalarına riayət etmələri və ərazidə quraşdırılmış müvəqqəti yol nişanlarının tələblərinə uyğun avtonəqliyyat vasitələrini idarə etmələri xahiş olunur.Yarana biləcək müvəqqəti narahatlığa görə vətəndaşlardan üzr istəyirik.","['AAYDA', 'Azərbaycan Avtomobil Yolları Dövlət Agentliyi', '(AAYDA)']",1
8,"Gədəbəy rayonunun Böyük Qaramurad kəndi ərazisindən keçən çaydan kişi meyti aşkarlanıb.Axar.az-ın məlumatına görə, meyit tibbi ekspertizaya aparılıb.Araşdırmalar zamanı onun Gəncə şəhər sakini, 1947-ci il təvəllüdlü Tofiq Məhəmməd oğlu Səfərov olduğu bilinib.Kənd sakinlərinin bildirdiyinə görə, meyit çayla axaraq həmin əraziyə gəlib.Faktla bağlı araşdırma aparılır.",['Gədəbəy'],1
9,"Gədəbəy rayonunun Böyük Qaramurad kəndi ərazisindən keçən çaydan kişi meyti aşkarlanıb.Axar.az-ın məlumatına görə, meyit tibbi ekspertizaya aparılıb.Araşdırmalar zamanı onun Gəncə şəhər sakini, 1947-ci il təvəllüdlü Tofiq Məhəmməd oğlu Səfərov olduğu bilinib.Kənd sakinlərinin bildirdiyinə görə, meyit çayla axaraq həmin əraziyə gəlib.Faktla bağlı araşdırma aparılır.",['Gədəbəy'],1
